Attack/Campaign Name,Targetted Infrastructure,Year,Sophistication,Scale,Country,Attacker Type,Initial Access,Impact,Attacker Name,Story,Reference1,Reference2
Onshore Oil production SCADA control system infected with Blaster,Chemicals (Petrochemicals),2003,Low,[x],US,Unknown,Unknown,[x],Unknown,The SCADA system that controls an onshore oil production system was infected by the Blaster worm. This infection seemed to cause no impact on operations and was only noticed by IT security personnel who were trying to clear the corporate network of the worm infection.,https://www.risidata.com/Database/Search_Results/search&keywords=Blaster+Infects+Onshore+Oil+Production+Control+System/,
Paper company control system hit by Blaster,Manufacturing (Pulp and Paper),2003,Low,[x],US,Unknown,Unknown,[x],Unknown,"Sappi Fine Paper was using Nessus and ISS Internet Scanner for vulnerability testing and applying all patches to their systems, yet they still encountered vulnerabilities, with one machine having 40 reported issues. The ISO recognized the need to improve their security measures, but then the Blaster worm struck, infecting the process control systems.",https://www.risidata.com/Database/Detail/paper-company-control-system-hit-by-blaster,
SCADA network at Davis-Besse nuclear plant infected with Slammer,Nuclear,2003,Low,[x],US,Unknown,Exploitation of Remote Services,[x],Unknown,"In January 2003, the Davis-Besse nuclear power plant in Ohio was infected by the Slammer worm, which reached Davis-Besse after infecting a consultant's network and then the corporate network of First Energy Nuclear, which operates the plant. The corporate network, lacking a firewall, was directly connected to the plant's SCADA system, allowing the worm to spread. The worm generated excessive traffic, overwhelming the system and rendering the safety parameter display system (SPDS) unavailable for nearly five hours. A patch for the SQL 2000 vulnerability, released six months earlier, would have prevented the infection, but neither the corporate network nor the SCADA system had been patched.",https://itlaw.fandom.com/wiki/Davis-Besse_nuclear_power_plant,https://www.industrialcybersecuritypulse.com/threats-vulnerabilities/throwback-attack-the-slammer-worm-hits-davis-besse-nuclear-plant/
DCS systems infected with Slammer,Chemicals,2003,Low,[x],UK,Unknown,Transient Cyber Asset,[x],Unknown,"A corporate laptop user installed software, unaware that it included an unpatched version of msSQL. Sometime later the user connected PC to the Internet (in violation of company policy) to access email via an ISP. SQLslammer infected the internet connected machine. The user then brought the infected machine into the office and connected to the network, causing a small outbreak of the SQLslammer worm within the corporate network.

An unfirewalled data acquisition server, a control system and a development control system became infected with SQLslammer worm and had to be removed from the network to prevent further infection.",https://www.risidata.com/Database/Detail/slammer-infected-laptop-shuts-down-dcs,
SCADA network infected with Slammer,Energy,2003,Low,[x],US,Unknown,Exploitation of Remote Services,[x],Unknown,A server on the utility�s control center LAN running SQL was not patched. The worm apparently migrated through the corporate networks until it finally reached the critical SCADA network via a remote computer through a VPN connection. In the control network it propagated and blocked SCADA traffic.,https://www.risidata.com/Database/Detail/power-industry-slammer-1,
Trojan backdoor on water SCADA system,Water,2004,Low,[x],Canada,Unknown,Drive-by Compromise,[x],Unknown,"During a  security audit of a Canadian water SCADA system, a trojan backdoor was discovered on a human-machine interface (HMI) computer. The trojan included a keylogger and a reverse tunnel to an external website, believed to have been introduced through an operator's use of external email websites. Although the firewall blocked the reverse tunnel, it did not prevent the keylogger, which used SMTP for data transport. The HMI was part of the regional government's enterprise network, with multiple Internet access points. No impact was reported, and subsequent actions included modifying firewalls to block HTTP access from SCADA systems and implementing antivirus measures across all SCADA computers.",https://www.risidata.com/Database/Detail/trojan-backdoor-on-water-scada-system,
Drilling control system and HMI infected with a worm,Chemicals,2004,Low,[x],UK,Unknown,Supply Chain Compromise,[x],Unknown,"A new HMI machine was introduced to a drilling network by a third-party company without antivirus software and was not fully patched, violating standard procedures. Other machines on the network also lacked the latest patches. The HMI became infected with a worm, which then spread to the control systems, causing a loss of view in the whole drilling control network.",https://www.risidata.com/Database/Search_Results/search&keywords=Worm+attack+on+Drilling+Control+system/,
DCS systems in a chemicals plant  infected with Sasser worm,Chemicals,2004,Low,[x],US,Unknown,Exploitation of Remote Services,[x],Unknown,The Sasser worm infected the DCS of a major chemicals plant. The worm infection came through the firewall on port 445 which was needed for the PHD authentication connection. The worm caused loss of view and loss of control for the whole of the DCS control system for the entire plant for over 5 hours.,https://www.risidata.com/Database/Detail/sasser-worm-causes-loss-of-view-in-chemicals-plant,
Trojan found on SCADA server in Russia,Manufacturing (General),2006,Medium,[x],Russia,Unknown,Replication Through Removable Media,[x],Unknown,"A redundant SCADA server pair in a Russian general manufacturing plant experienced communication issues. During troubleshooting, antivirus software revealed multiple instances of the 'Generic Backdoor.k' trojan on one server, which was then cleaned. The USB hard disk used for creating hard drive images was also found to be infected, though it was unclear if this was the source of the trojan as the plant had just been commissioned and used removable media for modifications. The incident led to a ban on removable media on-site and required several engineers to test all machines on the LAN.",https://www.risidata.com/Database/Detail/trojan_found_on_scada_server,
Hack of L.A.'s traffic grid,Transport,2006,Medium,[x],US,Hackers,Unknown,[x],"Gabriel Murillo, Kartik Patel","Two Los Angeles traffic engineers, Gabriel Murillo and Kartik Patel, hacked into the city�s traffic signal system during a labor dispute in 2006. They manipulated the signal lights at four major intersections, including one at Los Angeles International Airport, causing prolonged red lights and significant traffic congestion. Despite the disruption, no accidents were reported. The hack was executed by altering computer codes to prevent reprogramming of the signals for four days. Murillo and Patel were charged with unauthorized access and disruption of computer services, resulting in probation, fines, and community service.",https://www.nbclosangeles.com/news/engineers_plead_guilty_to_illegally_shutting_down_traffic_signals/2095678/,https://www.vice.com/en/article/how-las-traffic-system-got-hacked-5886b6f8f672c2456362f36b/
Infiltration & compromise of a Harrisburg  water utility SCADA network,Water,2006,Medium,[x],US,Unknown,External Remote Services,[x],Unknown,"In October 2006, the Harrisburg, Pennsylvania water treatment facility's SCADA system was compromised through an employee's infected laptop. The infection likely occurred via a drive-by compromise while browsing external websites, leading to the installation of malware and spyware. Although the attackers did not intentionally target the water plant, the malware raised concerns about potential operational disruptions, such as altering chlorine levels. The FBI investigated the incident, noting the attackers likely aimed to use the compromised computer for broader malicious activities rather than directly harming the water plant.",https://www.exida.com/images/uploads/Pennsylvania_Water_Hack_Brings_Total_to_Ten.pdf,
California canal system hack,Water,2007,Low,[x],US,Insider,Insider Access,[x],Michael Keehn,"Michael Keehn, a former electrical supervisor with the Tehama Colusa Canal Authority (TCAA) in California, was charged in 2007 with installing unauthorised software on the SCADA system used to divert water from the Sacramento River. Keehn allegedly accessed and damaged the protected computer system around August 15, leading to potential operational disruptions. The unauthorised software installation caused more than $5,000 in damages. Despite the breach, the canal systems could still operate manually if the SCADA system was offline. Keehn faces charges of computer fraud, which could result in up to 10 years in prison.",https://www.risidata.com/Database/Detail/California_Canal_System_Hack,
Lodz tram system hack,Transport,2008,Low,[x],Poland,Hacker,Wireless Compromise,[x],14-year-old boy  (not officially named),"A 14-year-old boy in Lodz, Poland, used a modified television remote control to take over the city's tram system, causing four derailments. By trespassing at tram depots, he gathered the information and equipment needed to build an infra-red device capable of controlling tram switches. The boy treated the tram system like a giant train set, switching tracks multiple times, which led to trams jumping tracks and making emergency stops, injuring passengers. He will face charges of endangering public safety in a juvenile court.",https://www.darkreading.com/perimeter/teenage-hacker-takes-over-polish-tram-system,
Hacker disabled offshore oil platforms' leak detection system,Chemicals (Petrochemicals),2008,Low,[x],US,Hacker,Insider Access,[x],Mario Azar,"In 2008, Mario Azar, a disgruntled employee, accessed and temporarily disabled the leak detection system for three offshore oil platforms off the Southern California coast. Although there were no oil leaks, the system shutdown posed significant risks. Azar pleaded guilty to intentionally damaging a computer system and initially faced up to ten years in prison. In April 2010, he was sentenced to five years of probation, ordered to pay a $100,000 special assessment, $50,000 in restitution, and complete 200 hours of community service.",https://www.risidata.com/Database/Detail/hacker_disabled_offshore_oil_platforms,
Attack on hospital HVAC control system,Health,2009,Low,[x],US,Hacker,Insider Access,[x],McGraw aka Ghost Exodus,"Jesse William McGraw, also known as Ghost Exodus, a security guard at the Carrell Clinic in Dallas, Texas, installed malicious code on a computer controlling the clinic's HVAC system. This act compromised the system and posed a threat to public health by potentially impairing medical services. McGraw, who led the hacker group ""Electronik Tribulation Army,"" boasted of his exploits online and planned further cyberattacks for July 4, 2009, which he referred to as ""Devil�s Day."" ",https://www.justice.gov/archive/usao/txn/PressRel09/mcgraw_cyber_indict_pr.html,
PC_SALITY.EN virus infects OPC servers and historians,Chemicals,2009,Low,[x],South Africa,Unknown,Unknown,[x],Unknown,"In 2004, following a hardware and software upgrade of four OPC client machines, the OPC services stopped running on two OPC servers. The client upgrades were aborted, and the old machines were reinstalled, but the OPC servers could not be rebooted. An investigation revealed the PE_SALITY virus on both servers. As a result, operators ran the plant ""blind"" for over eight hours while engineering rebuilt the servers. Subsequently, several changes were implemented: no third-party software was to be installed on any server without vendor approval, no server could be integrated into the network without a virus check, remote access was disallowed, and only dedicated memory sticks were to be used in servers.",https://www.risidata.com/index.php?/Database/Detail/pc_sality.en_virus_infects_dcs_servers_and_historians,
Stuxnet Natanz attack,Nuclear,2010,High,[x],Iran,APT,Replication Through Removable Media ,[x],"Suspected NSA, CIA and Israeli intelligence","Stuxnet, a sophisticated computer worm discovered in 2010, was developed by U.S. and Israeli intelligence agencies under Operation Olympic Games to sabotage Iran's nuclear program. Targeting Siemens Step7 software and PLCs, it caused significant damage to Iran's uranium enrichment centrifuges at the Natanz facility. The worm altered centrifuge speeds, leading to their physical degradation, and masked its presence by sending normal operation signals. This attack, which exploited multiple zero-day vulnerabilities, was part of a broader strategy to delay Iran's nuclear capabilities without direct military intervention, and it marked a new era of cyberwarfare by demonstrating the potential of malware to cause physical destruction in critical infrastructure.",https://www.csoonline.com/article/562691/stuxnet-explained-the-first-known-cyberweapon.html,https://en.wikipedia.org/wiki/Stuxnet
Stuxnet shuts down milling factory in Iran,Food,2010,High,[x],Iran,APT,Unknown,[x],Unknown,"In 2010, the Stuxnet virus, primarily aimed at Iran's nuclear facilities, caused collateral damage by shutting down a 350-ton capacity wheat flour mill near Mount Damavand. This cyberattack disrupted the mill's operations, and security patches had to be imported from abroad to restore functionality.",https://lobelog.com/bread-and-nukes-stuxnets-collateral-damage/,
Illinois water plant pump station hacked,Water,2011,Medium,[x],US,Hackers,External Remote Services,[x],"Unknown, initial attribution to Russian hackers was questioned","A water plant in Springfield, Illinois experienced a hack that damaged its control system, causing a water pump to burn out. Security expert Joe Weiss reported that malicious code had been in the plant's SCADA system for two to three months, causing abnormal equipment cycling. The hackers allegedly obtained usernames and passwords from the control software vendor and accessed the system from a Russian computer.",https://www.wired.com/2011/11/hackers-destroy-water-pump/,
Greenfield wastewater treatment plant hacked,Water,2011,Low,[x],US,Insider,Insider Access,[x],Robert Olson,"Robert Olson, an employee at the Greenfield Wastewater Treatment Plant in Mesa, Arizona, intentionally shut down critical SCADA systems, causing a temporary halt in operations. Olson, armed with a handgun, called 911 to report the shutdown, leading to a two-hour standoff with the Gilbert SWAT team. Despite his actions, automatic safety systems prevented any methane gas buildup or sewage spills, ensuring no public danger. Olson was arrested and faced charges including criminal damage and terrorism. The plant resumed normal operations by 8:00 AM the same day, with additional employees called in to make necessary repairs.",http://scid.infracritical.com/pages/archived/scid-00006/,
All ALSPA system machines infected with Conficker at a steel plant,Manufacturing (Metals),2011,Low,[x],Unknown,Unknown,Unknown,[x],Unknown,"On February 6, 2011, the ALSPA system stopped.  An investigation revealed that there was a Conficker virus infection in all machines of the ALSPA system.  The worm spread throughout the power plant automation network (and probably in other automation networks, but the investigation was limited to the power plant due to budget constraints).  The virus flooded the network with unwanted packets and caused an instability in the communications between PLCs and supervisory stations and freezing most of the supervisory systems.  The automation team cleaned the infected machines, but the virus returned.

The Alston team installed the Windows Service Pack II on all machines in the ALSPA system.  After cleaning, the system returned to work well disconnected from PI.  The worm infected the PI machine and the SGE network, but was removed without problems.  All systems returned to work well while the external networks are disconnected.  When these networks are reconnected, the malware returns.  Due to this, the automation team decided to keep these external networks disconnected.

Since the infection began, the company is paying monthly fines to government agencies because critical reports (such as environmental control, for example) were not being sent.",https://www.risidata.com/Database/Detail/steel_plant_infected_with_conifcker,
SCADA systems accessed during Chinese Gas Pipeline Intrusion Campaign,Energy,2011 - 2013,High,[x],US,APT,Spearphishing Attachment,[x],The U.S. Government has attributed this activity to Chinese state-sponsored actors,"From December 2011 to 2013, state-sponsored Chinese actors conducted a spearphishing and intrusion campaign targeting U.S. oil and natural gas pipeline companies. The campaign involved sophisticated spearphishing efforts and targeted 23 pipeline operators, resulting in 13 confirmed compromises, 3 near misses, and 7 cases with an unknown depth of intrusion. Techniques used included social engineering, direct system infiltration, and the exfiltration of sensitive ICS-related information. In some instances, the attackers successfully accessed supervisory control and data acquisition (SCADA) networks at several pipeline companies.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-201a,
Campaign infecting HMIs with Blackenergy2 malware,Various,2011 - 2014,Medium,[x],US,APT,Internet Accessible Device,[x],Sandworm,"The NCCIC/ICS-CERT has identified a sophisticated malware campaign that has compromised numerous industrial control system (ICS) environments using a variant of the BlackEnergy malware. This campaign has been active since at least 2011. Various companies collaborating with ICS-CERT have detected the malware on Internet-connected human-machine interfaces (HMIs). Users of HMI products from several vendors, including GE Cimplicity, Advantech/Broadwin WebAccess, and Siemens WinCC, have been targeted in this campaign. Although ICS-CERT has not identified any attempts to damage, modify, or otherwise disrupt the control processes of the affected systems, it has also been unable to confirm whether the intruders have gained access to other parts of the underlying control system beyond the compromised HMIs.",https://www.cisa.gov/news-events/ics-alerts/ics-alert-14-281-01,
Malware infections in a US power plant control enviroment,Energy,2012,Medium,[x],US,Unknown,Replication Through Removable Media,[x],Unknown,"In a US power generation facility, both common and sophisticated malware were discovered in the industrial control system environment. The discovery was made when an employee requested that the company IT staff inspect his USB drive, which had been experiencing intermittent operational issues. This employee routinely used the USB drive to back up control systems configurations within the control environment.

When an IT employee inserted the drive into a computer equipped with up-to-date antivirus software, the antivirus produced three positive hits. Initial analysis raised particular concern when one sample was linked to known sophisticated malware.",https://www.cisa.gov/sites/default/files/Monitors/ICS-CERT_Monitor_Oct-Dec2012.pdf,
Industrial heating control system hack in air conditioning company ,Building Automation,2012,Low,[x],US,Hacker,Internet Accessible Device,[x],"A hacker using the name @ntisec, and other hackers with international and US-based IP addresses","In February and March 2012, unauthorised IP addresses accessed the Industrial Control System (ICS) network of an undisclosed New Jersey air conditioning company. The intruders were able to exploit a backdoor in the ICS system that allowed access to the main control mechanism for the company's internal heating, ventilation, and air conditioning (HVAC) units. The company was using the Tridium Niagara ICS system, which has been widely reported in the media to contain multiple vulnerabilities that could allow an attacker to remotely control the system.",http://web.archive.org/web/20240614033211/https://info.publicintelligence.net/FBI-AntisecICS.pdf,
Smart meters hacked in Puerto Rico,Energy,2012,Low,[x],Puerto Rico,Insider,Insider Access,[x],Former employees of the meter manufacturer and employees of the utility,"In 2009, an electric utility in Puerto Rico asked the FBI to help it investigate widespread incidents of power thefts that it believed was related to its smart meter deployment. In May 2010, the bureau distributed an intelligence alert about its findings to select industry personnel and law enforcement officials.

Citing confidential sources, the FBI said it believes former employees of the meter manufacturer and employees of the utility were altering the meters in exchange for cash and training others to do so. �These individuals are charging $300 to $1,000 to reprogram residential meters, and about $3,000 to reprogram commercial meters,� the alert states.

The FBI believes that miscreants hacked into the smart meters using an optical converter device � such as an infrared light � connected to a laptop that allows the smart meter to communicate with the computer. After making that connection, the thieves changed the settings for recording power consumption using software that can be downloaded from the Internet.",https://krebsonsecurity.com/2012/04/fbi-smart-meter-hacks-likely-to-spread/,
New York Bowman Avenue Dam hacked,Water,2013,High,[x],US,APT,External Remote Services ,[x],APT  affiliated with Iranian government (Revolutionary Guards Corps),"Iranian hackers infiltrated the computerised controls of the Bowman Avenue Dam in Rye Brook, New York by accessing the dam's command and control system through a cellular modem. The hackers gained remote access to information about the dam�s operation, including water levels and the status of the sluice gate, though they could not manipulate it due to maintenance at the time. This attack is attributed to members of Iran�s Islamic Revolutionary Guards Corps.",https://time.com/4270728/iran-cyber-attack-dam-fbi/,
US and European ICS computers infected with Havex during Dagonfly 1.0 campaign,Energy,2013 - 2014,High,[x],Various,APT,Spearphishing Attachment,[x],DragonFly Group,"Dragonfly, also known as Energetic Bear, is a suspected state-sponsored group from Russia or Eastern Europe, targeting energy companies in the US and Europe. The group compromised industrial control system (ICS) providers by infecting their software updates with a remote access Trojan. This malware was unknowingly installed by companies, giving Dragonfly access to critical networks. This breach not only allowed the attackers to spy on these systems but also positioned them to potentially sabotage the infected ICS equipment. ",https://www.helpnetsecurity.com/2014/07/01/western-energy-companies-hit-by-state-sponsored-hackers/,https://www.trendmicro.com/vinfo/us/threat-encyclopedia/web-attack/139/havex-targets-industrial-control-systems
German steel mill attack,Manufacturing (Metals),2014,High,[x],Germany,APT,Spearphishing Attachment,[x],"Unknown, but it was conducted by a skilled and well-funded group of hackers (APT)","A cyber attack on a German steel mill resulted in severe damage to a blast furnace, according to the German Federal Office for Information Security (BSI). Hackers used spear-phishing emails to steal login credentials, allowing them to infiltrate the mill's control systems. Once inside, they manipulated the plant's equipment, causing parts of the facility to fail and preventing the furnace from shutting down normally. This forced an emergency shutdown, leading to significant damage. The BSI did not disclose the identity of the perpetrators or the plant involved.",https://www.bbc.co.uk/news/technology-30575104,https://cyberlaw.ccdcoe.org/wiki/Steel_mill_in_Germany_(2014)
2015 Ukraine electric power attack  ,Energy,2015,High,[x],Ukraine,APT,Spearphishing Attachment,[x],Sandworm,"On December 23, 2015, a significant cyberattack targeted Ukraine's power grid, resulting in power outages that affected around 230,000 people for 1 to 6 hours. This attack, attributed to the Russian hacking group ""Sandworm,"" was the first publicly acknowledged successful cyberattack on a power grid.

The attackers used the BlackEnergy 3 malware to infiltrate the information systems of three Ukrainian energy distribution companies. Once inside, they remotely switched off 30 substations and disabled critical infrastructure components. They also launched a denial-of-service attack on the call center to prevent affected consumers from obtaining information about the blackout. This cyberattack occurred during the ongoing Russo-Ukrainian War and highlighted the vulnerabilities of Ukraine's power grid, which was outdated and susceptible to infiltration due to its Soviet-era infrastructure.",https://www.forbes.com/sites/thomasbrewster/2016/01/04/ukraine-power-out-cyber-attack/?sh=b248db26fa86,https://en.wikipedia.org/wiki/2015_Ukraine_power_grid_hack
Kemuri water treatment plant hacked,Water,2015,High,[x],US,Hacktivists,Spearphishing Attachment,[x],Hacktivist group associated with Syria,"In the months prior to reporting the breach, the Kemuri Water Company�s IT team had begun noticing signs of a security breach � namely, valve and duct movements that were impacting many of the plant�s PLCs, which were used to manage water flow rate and to control the chemical treatment of the water supply.
When Verizon Security Solutions started looking into Kemuri, they immediately noticed that the organization had a poor security architecture, with Internet-facing systems plagued by high-risk vulnerabilities known to be exploited in the wild, and outdated operation technology systems that had been more than 10 years old. Verizon said the attack happened because the company�s IT network was using operating systems that were more than a decade old, and the SCADA platform was powered by an ancient IBM AS/400 system released back in 1988. This IBM server was so outdated only one employee in the entire plant could operate it properly. It connected to both the plant�s IT network (thus the financial records) and OT systems (controlling the water treatment facility and water supply for surrounding areas). The Verizon researchers believed the threat actors were able to get into the plant, and the IBM AS/400 system, via a vulnerability in the payment application web server. But because the AS/400 also controlled valve and flow control, the hackers were able to cross breach, jumping from the IT side to the OT side.",https://www.theregister.com/2016/03/24/water_utility_hacked/,
Tidal turbine hack,Energy,2015,Medium,[x],France,Unknown,Unknown,[x],Unknown,"Last October, the French tidal energy developer Sabella suffered a cyber attack that temporarily rendered the computer controlling their D10 tidal turbine and its associated equipment unusable. The hackers demanded a ransom of $4000 in exchange for a password to unlock the system. Sabella chose not to pay the ransom. Instead, they replaced the compromised computer and enhanced their security measures. This decision was confirmed by Jean-Christophe Allo, Sabella's Project Manager.",https://www.offshore-energy.biz/tidal-turbine-victim-of-hack-attack-yes/,
US and European SCADA systems accessed during Dragonfly 2.0 campaign,Energy,2015 - 2017,High,[x],Various,APT,Spearphishing Attachment,[x],DragonFly Group,"In 2017, the DragonFly group, a hacking collective linked to the Russian government, launched a sophisticated cyberattack campaign known as DragonFly 2.0. Targeting power and utility companies in the US and Europe, the group used phishing emails and supply chain attacks to infiltrate networks and gain access to critical systems, including those controlling circuit breakers. Over six months, they successfully breached 20 companies, gathering intelligence on how these systems operated. While no immediate physical damage occurred, the attackers positioned themselves to potentially disrupt electricity supplies in the future, highlighting significant vulnerabilities in the energy sector.",https://hitachi-systems-security.com/dragonfly-2-0-targets-energy-sector-gaining-access-to-scada-systems/,
Greyenergy infects SCADA workstations in power plants in Ukraine & Poland,Energy,2015 - 2018,High,[x],Ukraine & Poland,APT,Spearphishing Attachment or Exploit Public-Facing Application,[x],GreyEnergy Group,"Researchers at ESET said hackers with alleged ties to Russia have been systematically targeting critical infrastructure in Ukraine. The threat group dubbed GreyEnergy is believed to be related to the attack outfits BlackEnergy and Telebots � also known as Sandworm. GreyEnergy has been active for the past three years and has launched malware attacks against energy companies and other high-value targets in Ukraine and Poland. Researchers said GreyEnergy operators have been �strategically targeting ICS control workstations running SCADA software and servers, which tend to be mission-critical systems never meant to go offline except for periodic maintenance. According to ESET, GreyEnergy�s malware framework shares multiple similarities to BlackEnergy such as their module construction, use of remote command and control structures, and functionality for espionage and reconnaissance purposes. GreyEnergy�s malware, as compared to BlackEnergy, is a more modern toolkit with an even greater focus on stealth.",https://www.darkreading.com/application-security/greyenergy-group-tied-to-power-plant-attacks-in-ukraine-poland,https://www.eset.com/us/about/newsroom/press-releases/greyenergy-group-targeting-critical-infrastructure-possibly-in-preparation-for-damaging-attacks-1/
BlackEnergy strains infect Ukrainian mining and railway systems,"Transport, Mining",2016,High,[x],Ukraine,APT,Unknown,[x],Sandworm,"In February 2016, researchers from Trend Micro discovered that the BlackEnergy and KillDisk malware used in the December 2015 cyber-attacks on Ukraine's energy sector also targeted the country's mining and railway systems. These attacks, attributed to Russian-linked actors, involved the malware compromising systems by exploiting vulnerabilities and using command and control servers. BlackEnergy targeted SCADA systems, while KillDisk was designed to destroy files and render systems inoperable. Although these infections at mining and railway companies did not directly cause outages, the similarities in the malware used suggest a coordinated effort to destabilise Ukraine's critical infrastructure. ",https://www.securityweek.com/blackenergy-killdisk-infect-ukrainian-mining-railway-systems/,https://www.darkreading.com/threat-intelligence/ukraine-railway-mining-company-attacked-with-blackenergy
